unique_member_code,first_name,last_name,constituency_name,full_name,party,ministerial_office,year_elected,dail_number,dails_served,is_current
Fiona-O'Malley.D.2002-06-06,Fiona,O'Malley,Nominated by the Taoiseach,Fiona O'Malley,Progressive Democrats,false,2002,23,"23,29",False
Francis-O'Brien.S.1989-10-01,Francis,O'Brien,Agricultural Panel,Francis O'Brien,Fianna Fáil,false,1989,23,"20,21,22,23",False
Nicky-McFadden.S.2007-07-23,Nicky,McFadden,Administrative Panel,Nicky McFadden,Fine Gael,false,2007,23,"23,31",False
Pat-Moylan.S.1997-09-17,Pat,Moylan,Agricultural Panel,Pat Moylan,Fianna Fáil,false,1997,23,"21,22,23",False
Lisa-McDonald.S.2007-07-23,Lisa,McDonald,Nominated by the Taoiseach,Lisa McDonald,Fianna Fáil,false,2007,23,23,False
Michael-McCarthy.S.2002-09-12,Michael,McCarthy,Labour Panel,Michael McCarthy,Labour Party,false,2002,23,"22,23,31",False
Joe-O'Toole.S.1987-04-25,Joe,O'Toole,National University of Ireland,Joe O'Toole,Independent,false,1987,23,"20,21,22,23",False
Ann-Ormonde.S.1993-02-17,Ann,Ormonde,Cultural and Educational Panel,Ann Ormonde,Fianna Fáil,false,1993,23,"20,21,22,23",False
Kieran-Phelan.S.2002-09-12,Kieran,Phelan,Industrial and Commercial Panel,Kieran Phelan,Fianna Fáil,false,2002,23,"22,23",False
Phil-Prendergast.S.2007-07-23,Phil,Prendergast,Labour Panel,Phil Prendergast,Labour Party,false,2007,23,23,False
Eugene-Regan.S.2007-07-23,Eugene,Regan,Agricultural Panel,Eugene Regan,Fine Gael,false,2007,23,23,False
Shane-PN-Ross.S.1981-10-08,Shane,Ross,University of Dublin,Shane Ross,Independent,false,1981,23,"20,21,22,23,31,32",False
Brendan-Ryan.S.2007-07-23,Brendan,Ryan,Administrative Panel,Brendan Ryan,Labour Party,false,2007,23,"23,31,32",False
Liam-Twomey.D.2002-06-06,Liam,Twomey,Cultural and Educational Panel,Liam Twomey,Fine Gael,false,2002,23,"23,29,31",False
Déirdre-de-Búrca.S.2007-07-23,Déirdre,de Búrca,Nominated by the Taoiseach,Déirdre de Búrca,Green Party,false,2007,23,23,False
John-Paul-Phelan.S.2002-09-12,John Paul,Phelan,Agricultural Panel,John Paul Phelan,Fine Gael,false,2002,23,"22,23,31,32,33",False
