identifier,first_name,last_name,sitting_days_attendance,other_days_attendance,year,iso_sitting_days_attendance,iso_other_days_attendance
Heneghan_Barry,Barry,Heneghan,,12/12/2024,2024,,2024-12-12
Heneghan_Barry,Barry,Heneghan,,13/12/2024,2024,,2024-12-13
Heneghan_Barry,Barry,Heneghan,,16/12/2024,2024,,2024-12-16
Heneghan_Barry,Barry,Heneghan,,17/12/2024,2024,,2024-12-17
Heneghan_Barry,Barry,Heneghan,22/01/2025,,2025,2025-01-22,
Heneghan_Barry,Barry,Heneghan,23/01/2025,,2025,2025-01-23,
Heneghan_Barry,Barry,Heneghan,05/02/2025,,2025,2025-02-05,
Heneghan_Barry,Barry,Heneghan,06/02/2025,,2025,2025-02-06,
Heneghan_Barry,Barry,Heneghan,11/02/2025,,2025,2025-02-11,
Heneghan_Barry,Barry,Heneghan,12/02/2025,,2025,2025-02-12,
Heneghan_Barry,Barry,Heneghan,18/02/2025,,2025,2025-02-18,
Heneghan_Barry,Barry,Heneghan,20/02/2025,,2025,2025-02-20,
Heneghan_Barry,Barry,Heneghan,25/02/2025,,2025,2025-02-25,
Heneghan_Barry,Barry,Heneghan,26/02/2025,,2025,2025-02-26,
Heneghan_Barry,Barry,Heneghan,04/03/2025,,2025,2025-03-04,
Heneghan_Barry,Barry,Heneghan,05/03/2025,,2025,2025-03-05,
Heneghan_Barry,Barry,Heneghan,06/03/2025,,2025,2025-03-06,
Heneghan_Barry,Barry,Heneghan,19/03/2025,,2025,2025-03-19,
Heneghan_Barry,Barry,Heneghan,20/03/2025,,2025,2025-03-20,
Heneghan_Barry,Barry,Heneghan,26/03/2025,,2025,2025-03-26,
Heneghan_Barry,Barry,Heneghan,27/03/2025,,2025,2025-03-27,
Heneghan_Barry,Barry,Heneghan,01/04/2025,,2025,2025-04-01,
Heneghan_Barry,Barry,Heneghan,02/04/2025,,2025,2025-04-02,
Heneghan_Barry,Barry,Heneghan,03/04/2025,,2025,2025-04-03,
Heneghan_Barry,Barry,Heneghan,08/04/2025,,2025,2025-04-08,
Heneghan_Barry,Barry,Heneghan,09/04/2025,,2025,2025-04-09,
Heneghan_Barry,Barry,Heneghan,10/04/2025,,2025,2025-04-10,
Heneghan_Barry,Barry,Heneghan,29/04/2025,,2025,2025-04-29,
Heneghan_Barry,Barry,Heneghan,30/04/2025,,2025,2025-04-30,
Heneghan_Barry,Barry,Heneghan,01/05/2025,,2025,2025-05-01,
Heneghan_Barry,Barry,Heneghan,07/05/2025,,2025,2025-05-07,
Heneghan_Barry,Barry,Heneghan,08/05/2025,,2025,2025-05-08,
Heneghan_Barry,Barry,Heneghan,13/05/2025,,2025,2025-05-13,
Heneghan_Barry,Barry,Heneghan,14/05/2025,,2025,2025-05-14,
Heneghan_Barry,Barry,Heneghan,15/05/2025,,2025,2025-05-15,
Heneghan_Barry,Barry,Heneghan,21/05/2025,,2025,2025-05-21,
Heneghan_Barry,Barry,Heneghan,22/05/2025,,2025,2025-05-22,
Heneghan_Barry,Barry,Heneghan,27/05/2025,,2025,2025-05-27,
Heneghan_Barry,Barry,Heneghan,28/05/2025,,2025,2025-05-28,
Heneghan_Barry,Barry,Heneghan,29/05/2025,,2025,2025-05-29,
Heneghan_Barry,Barry,Heneghan,10/06/2025,,2025,2025-06-10,
Heneghan_Barry,Barry,Heneghan,11/06/2025,,2025,2025-06-11,
Heneghan_Barry,Barry,Heneghan,12/06/2025,,2025,2025-06-12,
Heneghan_Barry,Barry,Heneghan,17/06/2025,,2025,2025-06-17,
Heneghan_Barry,Barry,Heneghan,18/06/2025,,2025,2025-06-18,
Heneghan_Barry,Barry,Heneghan,19/06/2025,,2025,2025-06-19,
Heneghan_Barry,Barry,Heneghan,24/06/2025,,2025,2025-06-24,
Heneghan_Barry,Barry,Heneghan,25/06/2025,,2025,2025-06-25,
Heneghan_Barry,Barry,Heneghan,26/06/2025,,2025,2025-06-26,
Heneghan_Barry,Barry,Heneghan,01/07/2025,,2025,2025-07-01,
Heneghan_Barry,Barry,Heneghan,02/07/2025,,2025,2025-07-02,
Heneghan_Barry,Barry,Heneghan,03/07/2025,,2025,2025-07-03,
Heneghan_Barry,Barry,Heneghan,08/07/2025,,2025,2025-07-08,
Heneghan_Barry,Barry,Heneghan,09/07/2025,,2025,2025-07-09,
Heneghan_Barry,Barry,Heneghan,15/07/2025,,2025,2025-07-15,
Heneghan_Barry,Barry,Heneghan,16/07/2025,,2025,2025-07-16,
Heneghan_Barry,Barry,Heneghan,17/07/2025,,2025,2025-07-17,
Heneghan_Barry,Barry,Heneghan,,06/01/2025,2025,,2025-01-06
Heneghan_Barry,Barry,Heneghan,,07/01/2025,2025,,2025-01-07
Heneghan_Barry,Barry,Heneghan,,08/01/2025,2025,,2025-01-08
Heneghan_Barry,Barry,Heneghan,,09/01/2025,2025,,2025-01-09
Heneghan_Barry,Barry,Heneghan,,10/01/2025,2025,,2025-01-10
Heneghan_Barry,Barry,Heneghan,,13/01/2025,2025,,2025-01-13
Heneghan_Barry,Barry,Heneghan,,14/01/2025,2025,,2025-01-14
Heneghan_Barry,Barry,Heneghan,,15/01/2025,2025,,2025-01-15
Heneghan_Barry,Barry,Heneghan,,16/01/2025,2025,,2025-01-16
Heneghan_Barry,Barry,Heneghan,,20/01/2025,2025,,2025-01-20
Heneghan_Barry,Barry,Heneghan,,21/01/2025,2025,,2025-01-21
Heneghan_Barry,Barry,Heneghan,,27/01/2025,2025,,2025-01-27
Heneghan_Barry,Barry,Heneghan,,28/01/2025,2025,,2025-01-28
Heneghan_Barry,Barry,Heneghan,,29/01/2025,2025,,2025-01-29
Heneghan_Barry,Barry,Heneghan,,30/01/2025,2025,,2025-01-30
Heneghan_Barry,Barry,Heneghan,,31/01/2025,2025,,2025-01-31
Heneghan_Barry,Barry,Heneghan,,04/02/2025,2025,,2025-02-04
Heneghan_Barry,Barry,Heneghan,,07/02/2025,2025,,2025-02-07
Heneghan_Barry,Barry,Heneghan,,10/02/2025,2025,,2025-02-10
Heneghan_Barry,Barry,Heneghan,,24/02/2025,2025,,2025-02-24
Heneghan_Barry,Barry,Heneghan,,03/03/2025,2025,,2025-03-03
Heneghan_Barry,Barry,Heneghan,,07/03/2025,2025,,2025-03-07
Heneghan_Barry,Barry,Heneghan,,10/03/2025,2025,,2025-03-10
Heneghan_Barry,Barry,Heneghan,,11/03/2025,2025,,2025-03-11
Heneghan_Barry,Barry,Heneghan,,12/03/2025,2025,,2025-03-12
Heneghan_Barry,Barry,Heneghan,,13/03/2025,2025,,2025-03-13
Heneghan_Barry,Barry,Heneghan,,14/03/2025,2025,,2025-03-14
Heneghan_Barry,Barry,Heneghan,,18/03/2025,2025,,2025-03-18
Heneghan_Barry,Barry,Heneghan,,21/03/2025,2025,,2025-03-21
Heneghan_Barry,Barry,Heneghan,,24/03/2025,2025,,2025-03-24
Heneghan_Barry,Barry,Heneghan,,28/03/2025,2025,,2025-03-28
Heneghan_Barry,Barry,Heneghan,,31/03/2025,2025,,2025-03-31
Heneghan_Barry,Barry,Heneghan,,04/04/2025,2025,,2025-04-04
Heneghan_Barry,Barry,Heneghan,,07/04/2025,2025,,2025-04-07
Heneghan_Barry,Barry,Heneghan,,11/04/2025,2025,,2025-04-11
Heneghan_Barry,Barry,Heneghan,,14/04/2025,2025,,2025-04-14
Heneghan_Barry,Barry,Heneghan,,15/04/2025,2025,,2025-04-15
Heneghan_Barry,Barry,Heneghan,,16/04/2025,2025,,2025-04-16
Heneghan_Barry,Barry,Heneghan,,17/04/2025,2025,,2025-04-17
Heneghan_Barry,Barry,Heneghan,,28/04/2025,2025,,2025-04-28
Heneghan_Barry,Barry,Heneghan,,02/05/2025,2025,,2025-05-02
Heneghan_Barry,Barry,Heneghan,,06/05/2025,2025,,2025-05-06
Heneghan_Barry,Barry,Heneghan,,09/05/2025,2025,,2025-05-09
Heneghan_Barry,Barry,Heneghan,,12/05/2025,2025,,2025-05-12
Heneghan_Barry,Barry,Heneghan,,16/05/2025,2025,,2025-05-16
Heneghan_Barry,Barry,Heneghan,,19/05/2025,2025,,2025-05-19
Heneghan_Barry,Barry,Heneghan,,23/05/2025,2025,,2025-05-23
Heneghan_Barry,Barry,Heneghan,,26/05/2025,2025,,2025-05-26
Heneghan_Barry,Barry,Heneghan,,30/05/2025,2025,,2025-05-30
Heneghan_Barry,Barry,Heneghan,,03/06/2025,2025,,2025-06-03
Heneghan_Barry,Barry,Heneghan,,04/06/2025,2025,,2025-06-04
Heneghan_Barry,Barry,Heneghan,,05/06/2025,2025,,2025-06-05
Heneghan_Barry,Barry,Heneghan,,06/06/2025,2025,,2025-06-06
Heneghan_Barry,Barry,Heneghan,,09/06/2025,2025,,2025-06-09
Heneghan_Barry,Barry,Heneghan,,13/06/2025,2025,,2025-06-13
Heneghan_Barry,Barry,Heneghan,,16/06/2025,2025,,2025-06-16
Heneghan_Barry,Barry,Heneghan,,23/06/2025,2025,,2025-06-23
Heneghan_Barry,Barry,Heneghan,,27/06/2025,2025,,2025-06-27
Heneghan_Barry,Barry,Heneghan,,30/06/2025,2025,,2025-06-30
Heneghan_Barry,Barry,Heneghan,,04/07/2025,2025,,2025-07-04
Heneghan_Barry,Barry,Heneghan,,07/07/2025,2025,,2025-07-07
Heneghan_Barry,Barry,Heneghan,,11/07/2025,2025,,2025-07-11
Heneghan_Barry,Barry,Heneghan,,29/08/2025,2025,,2025-08-29
Heneghan_Barry,Barry,Heneghan,,02/09/2025,2025,,2025-09-02
Heneghan_Barry,Barry,Heneghan,,03/09/2025,2025,,2025-09-03
Heneghan_Barry,Barry,Heneghan,,04/09/2025,2025,,2025-09-04
Heneghan_Barry,Barry,Heneghan,,05/09/2025,2025,,2025-09-05
Heneghan_Barry,Barry,Heneghan,13/01/2026,,2026,2026-01-13,
Heneghan_Barry,Barry,Heneghan,14/01/2026,,2026,2026-01-14,
Heneghan_Barry,Barry,Heneghan,15/01/2026,,2026,2026-01-15,
Heneghan_Barry,Barry,Heneghan,20/01/2026,,2026,2026-01-20,
Heneghan_Barry,Barry,Heneghan,21/01/2026,,2026,2026-01-21,
Heneghan_Barry,Barry,Heneghan,22/01/2026,,2026,2026-01-22,
Heneghan_Barry,Barry,Heneghan,27/01/2026,,2026,2026-01-27,
Heneghan_Barry,Barry,Heneghan,28/01/2026,,2026,2026-01-28,
Heneghan_Barry,Barry,Heneghan,29/01/2026,,2026,2026-01-29,
Heneghan_Barry,Barry,Heneghan,04/02/2026,,2026,2026-02-04,
Heneghan_Barry,Barry,Heneghan,05/02/2026,,2026,2026-02-05,
Heneghan_Barry,Barry,Heneghan,10/02/2026,,2026,2026-02-10,
Heneghan_Barry,Barry,Heneghan,11/02/2026,,2026,2026-02-11,
Heneghan_Barry,Barry,Heneghan,12/02/2026,,2026,2026-02-12,
Heneghan_Barry,Barry,Heneghan,17/02/2026,,2026,2026-02-17,
Heneghan_Barry,Barry,Heneghan,18/02/2026,,2026,2026-02-18,
Heneghan_Barry,Barry,Heneghan,19/02/2026,,2026,2026-02-19,
Heneghan_Barry,Barry,Heneghan,24/02/2026,,2026,2026-02-24,
Heneghan_Barry,Barry,Heneghan,25/02/2026,,2026,2026-02-25,
Heneghan_Barry,Barry,Heneghan,03/03/2026,,2026,2026-03-03,
Heneghan_Barry,Barry,Heneghan,04/03/2026,,2026,2026-03-04,
Heneghan_Barry,Barry,Heneghan,05/03/2026,,2026,2026-03-05,
Heneghan_Barry,Barry,Heneghan,18/03/2026,,2026,2026-03-18,
Heneghan_Barry,Barry,Heneghan,19/03/2026,,2026,2026-03-19,
Heneghan_Barry,Barry,Heneghan,24/03/2026,,2026,2026-03-24,
Heneghan_Barry,Barry,Heneghan,25/03/2026,,2026,2026-03-25,
Heneghan_Barry,Barry,Heneghan,,09/01/2026,2026,,2026-01-09
Heneghan_Barry,Barry,Heneghan,,12/01/2026,2026,,2026-01-12
Heneghan_Barry,Barry,Heneghan,,16/01/2026,2026,,2026-01-16
Heneghan_Barry,Barry,Heneghan,,19/01/2026,2026,,2026-01-19
Heneghan_Barry,Barry,Heneghan,,23/01/2026,2026,,2026-01-23
Heneghan_Barry,Barry,Heneghan,,26/01/2026,2026,,2026-01-26
