local_authority,lea,name,party,status,source
Dún Laoghaire-Rathdown,Dún Laoghaire,Lorraine Hall,Fine Gael,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Dún Laoghaire,Melisa Halpin,PBP–Solidarity,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Dún Laoghaire,J. P. Durkan,Fine Gael,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Dún Laoghaire,Mary Fayne,Fine Gael,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Dún Laoghaire,Justin Moylan,Fianna Fáil,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Dún Laoghaire,Thomas Joseph,Labour,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Glencullen – Sandyford,Michael Fleming,Independent,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Glencullen – Sandyford,Lettie McCarthy,Labour,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Glencullen – Sandyford,Pierce Dargan,Fine Gael,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Glencullen – Sandyford,Kazi Ahmed,Fine Gael,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Glencullen – Sandyford,Tom Murphy,Fianna Fáil,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Glencullen – Sandyford,Kevin Daly,Independent,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Killiney – Shankill,Carrie Smyth,Labour,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Killiney – Shankill,Jim Gildea,Fine Gael,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Killiney – Shankill,Frank McNamara,Fine Gael,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Killiney – Shankill,Hugh Lewis,Independent,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Killiney – Shankill,Jacqueline Burke,Fine Gael,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Killiney – Shankill,Dave O'Keeffe,PBP–Solidarity,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Stillorgan,Barry Saul,Fine Gael,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Stillorgan,John Kennedy,Fine Gael,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Stillorgan,Liam Dockery,Fianna Fáil,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Stillorgan,John Hurley,Social Democrats,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,,Shay Brennan,Fianna Fáil,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,,Maeve O'Connell,Fine Gael,sitting,Dún Laoghaire–Rathdown County Council
Fingal,Balbriggan,Tony Murphy,Independent,sitting,Fingal County Council
Fingal,Balbriggan,Gráinne Maguire,Independent,sitting,Fingal County Council
Fingal,Balbriggan,Brendan Ryan,Labour,sitting,Fingal County Council
Fingal,Balbriggan,Tom O'Leary,Fine Gael,sitting,Fingal County Council
Fingal,Balbriggan,Malachy Quinn,Sinn Féin,sitting,Fingal County Council
Fingal,Blanchardstown – Mulhuddart,Breda Hanaphy,Sinn Féin,sitting,Fingal County Council
Fingal,Blanchardstown – Mulhuddart,Mary McCamley,Labour,sitting,Fingal County Council
Fingal,Blanchardstown – Mulhuddart,JK Onwumereh,Fianna Fáil,sitting,Fingal County Council
Fingal,Blanchardstown – Mulhuddart,John Burtchaell,PBP–Solidarity,sitting,Fingal County Council
Fingal,Castleknock,Ted Leddy,Fine Gael,sitting,Fingal County Council
Fingal,Castleknock,John Walsh,Labour,sitting,Fingal County Council
Fingal,Castleknock,Siobhan Shovlin,Fine Gael,sitting,Fingal County Council
Fingal,Castleknock,Ellen Troy,Aontú,sitting,Fingal County Council
Fingal,Castleknock,Eimear Carbone-Mangan,Fianna Fáil,sitting,Fingal County Council
Fingal,Howth – Malahide,Joan Hopkins,Social Democrats,sitting,Fingal County Council
Fingal,Howth – Malahide,Aoibhinn Tormey,Fine Gael,sitting,Fingal County Council
Fingal,Howth – Malahide,Cathal Haughey,Fianna Fáil,sitting,Fingal County Council
Fingal,Howth – Malahide,Jimmy Guerin,Independent,sitting,Fingal County Council
Fingal,Howth – Malahide,Brian McDonagh,Labour,sitting,Fingal County Council
Fingal,Howth – Malahide,Eoghan O'Brien,Fianna Fáil,sitting,Fingal County Council
Fingal,Ongar,Tania Doyle,Independent,sitting,Fingal County Council
Fingal,Ongar,Angela Donnelly,Sinn Féin,sitting,Fingal County Council
Fingal,Ongar,Kieran Dennison,Fine Gael,sitting,Fingal County Council
Fingal,Ongar,Tom Kitt,Fianna Fáil,sitting,Fingal County Council
Fingal,Ongar,Gerard Sheehan,Aontú,sitting,Fingal County Council
