local_authority,meeting,doc_type,power_class,power_type,n_hits,source_status
Galway City,080419_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,1,ocr_winocr
Galway City,080419_01_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,5,ocr_winocr
Galway City,040219_01_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,1,ocr_winocr
Galway City,140119_01_Minutes.pdf,plenary_minutes,reserved_real_devplan,reserved,1,ocr_winocr
Galway City,140119_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,2,ocr_winocr
Galway City,101218_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,4,ocr_winocr
Galway City,Adopted%20Minutes%20Special%20Meeting%2026th%20November%202018.pdf,plenary_minutes,reserved_veto_part8,reserved,2,ocr_winocr
Galway City,Adopted%20Minutes%20Statutory%20Budget%20Meeting%2019th%20November%202018.pdf,plenary_minutes,reserved_real_budget,reserved,3,ocr_winocr
Galway City,Adopted%20Minutes%20Statutory%20Budget%20Meeting%2019th%20November%202018.pdf,plenary_minutes,reserved_real_lpt,reserved,2,ocr_winocr
Galway City,Adopted%20Minutes%20Statutory%20Budget%20Meeting%2019th%20November%202018.pdf,plenary_minutes,reserved_real_rates,reserved,5,ocr_winocr
Galway City,121118_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,2,ocr_winocr
Galway City,121118_01_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,1,ocr_winocr
Galway City,Adopted%20Minutes%20Ordinary%20Meeting%2010th%20September%202018.pdf,plenary_minutes,reserved_real_budget,reserved,1,ocr_winocr
Galway City,Adopted%20Minutes%20Ordinary%20Meeting%2010th%20September%202018.pdf,plenary_minutes,reserved_real_lpt,reserved,10,ocr_winocr
Galway City,Adopted%20Minutes%20Ordinary%20Meeting%2010th%20September%202018.pdf,plenary_minutes,reserved_veto_part8,reserved,3,ocr_winocr
Galway City,Adopted%20Minutes%20Ordinary%20Meeting%209th%20July%202018.pdf,plenary_minutes,reserved_veto_part8,reserved,1,ocr_winocr
Galway County,Minutes%2022.06.2026.pdf,plenary_minutes,exec_noted_mgmt,executive,2,ocr_winocr
Laois,Minutes%20Council%20Meeting%20June%202026_0.pdf,plenary_minutes,reserved_real_budget,reserved,2,text
Laois,Minutes%20Council%20Meeting%20June%202026_0.pdf,plenary_minutes,reserved_veto_s183,reserved,2,text
Laois,Minutes%20Council%20Meeting%20June%202026_0.pdf,plenary_minutes,reserved_veto_part8,reserved,2,text
Laois,Minutes%20Council%20Meeting%20May%202026.pdf,plenary_minutes,reserved_real_devplan,reserved,2,text
Laois,Minutes%20Council%20Meeting%20May%202026.pdf,plenary_minutes,reserved_veto_s183,reserved,2,text
Wexford,Council-Meeting-Minutes-28.03.2022.pdf,plenary_minutes,reserved_real_devplan,reserved,2,text
Wexford,Council-Meeting-Minutes-28.03.2022.pdf,plenary_minutes,reserved_veto_s183,reserved,3,text
