constituency_slug,constituency_name,candidate_slug,candidate_name,candidate_page_url,doc_type,doc_label,pdf_url,media_id
160a9-dublin-fingal-east,Dublin Fingal East,30878-donnelly-tony,"Donnelly, Tony",https://www.sipo.ie/en/collection/30878-donnelly-tony/,expense_statement,"Donnelly, Tony - GE 2024 Expense Statement",https://assets.sipo.ie/media/285822/2326424f-d3c7-4321-a017-818a2b013df4.pdf,285822
160a9-dublin-fingal-east,Dublin Fingal East,4f7d0-farrell-alan,"Farrell, Alan",https://www.sipo.ie/en/collection/4f7d0-farrell-alan/,expense_statement,"Farrell, Alan GE 2024 Expense Statement",https://assets.sipo.ie/media/285379/435599b6-551c-463c-9f7f-ce7d1c22931d.pdf,285379
160a9-dublin-fingal-east,Dublin Fingal East,707a0-graves-ann,"Graves, Ann",https://www.sipo.ie/en/collection/707a0-graves-ann/,expense_statement,"Graves, Ann - GE 2024 Expense Statement",https://assets.sipo.ie/media/284234/5cf37320-6924-4b74-a875-7f275cd625ab.pdf,284234
160a9-dublin-fingal-east,Dublin Fingal East,823f0-carey-ian,"Carey, Ian",https://www.sipo.ie/en/collection/823f0-carey-ian/,donation_statement,"Carey, Ian GE 2024 Donation Statement",https://assets.sipo.ie/media/284669/613f3d75-6104-415e-832a-407ee9ce65e9.pdf,284669
160a9-dublin-fingal-east,Dublin Fingal East,823f0-carey-ian,"Carey, Ian",https://www.sipo.ie/en/collection/823f0-carey-ian/,expense_statement,"Carey, Ian GE 2024 Expense Statement",https://assets.sipo.ie/media/284670/e6d0caa0-62ab-4b00-985b-b19b48b798bf.pdf,284670
160a9-dublin-fingal-east,Dublin Fingal East,8ca53-smith-duncan,"Smith, Duncan",https://www.sipo.ie/en/collection/8ca53-smith-duncan/,expense_statement,"Smith, Duncan - GE 2024 Expense Statement",https://assets.sipo.ie/media/285329/0616d83a-f64f-4960-a98c-cfeec629ea05.pdf,285329
160a9-dublin-fingal-east,Dublin Fingal East,8d172-power-ollie,"Power, Ollie",https://www.sipo.ie/en/collection/8d172-power-ollie/,donation_statement,"Power, Ollie - GE 2024 Donation Statement",https://assets.sipo.ie/media/284647/09bfd920-a2b8-4f00-93f5-d9c73a4afc44.pdf,284647
160a9-dublin-fingal-east,Dublin Fingal East,8d172-power-ollie,"Power, Ollie",https://www.sipo.ie/en/collection/8d172-power-ollie/,expense_statement,"Power, Ollie - GE 2024 Expense Statement",https://assets.sipo.ie/media/284646/169f1e12-adc8-4a07-8fe8-8c69625f5f23.pdf,284646
160a9-dublin-fingal-east,Dublin Fingal East,c9c78-obrien-darragh,"O'Brien, Darragh",https://www.sipo.ie/en/collection/c9c78-obrien-darragh/,expense_statement,"O'Brien, Darragh - GE 2024 Expense Statement",https://assets.sipo.ie/media/285114/191451d3-c6ab-4a31-a199-fa04a46fa07f.pdf,285114
160a9-dublin-fingal-east,Dublin Fingal East,de9d0-hopkins-joan,"Hopkins, Joan",https://www.sipo.ie/en/collection/de9d0-hopkins-joan/,donation_statement,"Hopkins, Joan - GE 2024 Donation Statement",https://assets.sipo.ie/media/285827/780a3a17-114a-4cb9-95b7-12c139d75f62.pdf,285827
160a9-dublin-fingal-east,Dublin Fingal East,de9d0-hopkins-joan,"Hopkins, Joan",https://www.sipo.ie/en/collection/de9d0-hopkins-joan/,expense_statement,"Hopkins, Joan - GE 2024 Expense Statement",https://assets.sipo.ie/media/285317/d6ef0911-2a09-470f-9e1b-69e72f30a32d.pdf,285317
160a9-dublin-fingal-east,Dublin Fingal East,fa191-mulligan-dean,"Mulligan, Dean",https://www.sipo.ie/en/collection/fa191-mulligan-dean/,donation_statement,"Mulligan, Dean GE Donation Statement",https://assets.sipo.ie/media/285061/0badcce9-1547-488a-97db-f1be4971ac28.pdf,285061
